Topic,Man Proportion,Woman Proportion,Log2 Ratio,Difference,Combined Frequency
Too generic,0.2706645056726094,0.19148936170212766,0.497047367873243,0.07917514397048175,275
Grammar,0.1280388978930308,0.16666666666666666,-0.3777898775497718,-0.03862776877363586,173
Word choice,0.10210696920583469,0.1400709219858156,-0.4522787947726121,-0.03796395277998092,142
Tone,0.10372771474878444,0.06914893617021277,0.5781501519701372,0.03457877857857167,103
Personalization,0.07941653160453808,0.10815602836879433,-0.44082778975517317,-0.028739496764256245,110
None,0.11345218800648298,0.09219858156028368,0.29636514045924683,0.021253606446199294,122
Sentence length,0.055105348460291734,0.03546099290780142,0.6217844584347698,0.019644355552490313,54
Off topic comments,0.14100486223662884,0.1595744680851064,-0.17730218906389084,-0.018569605848477555,177
Interaction with others,0.07617504051863858,0.09042553191489362,-0.24446277992087323,-0.014250491396255047,98
Too inflammatory,0.017828200972447326,0.031914893617021274,-0.8058453773175431,-0.014086692644573948,29
Typing habits,0.03403565640194489,0.02304964539007092,0.5428083040044275,0.010986011011873971,34
Emoji usage,0.019448946515397084,0.030141843971631204,-0.6068278512240433,-0.01069289745623412,29
Too realistic,0.02593192868719611,0.03368794326241135,-0.365116752203937,-0.007756014575215239,35
Too factual,0.011345218800648298,0.01773049645390071,-0.6014367325490555,-0.006385277653252412,17
Image usage,0.04376012965964344,0.04964539007092199,-0.1782167401398726,-0.005885260411278549,55
Too formal,0.0,0.005319148936170213,-2.6597302691231284,-0.005319148936170213,3
Too scripted,0.1312803889789303,0.13652482269503546,-0.05609284999366546,-0.005244433716105168,158
Repetition,0.02106969205834684,0.01773049645390071,0.2366773607413321,0.0033391956044461282,23
Too specific,0.0032414910858995136,0.0,2.0845715298986165,0.0032414910858995136,2
Too agreeable,0.008103727714748784,0.010638297872340425,-0.35435076268572674,-0.002534570157591641,11
Too unrealistic,0.0,0.0017730496453900709,-1.4714734449085587,-0.0017730496453900709,1
Too negative,0.0,0.0017730496453900709,-1.4714734449085587,-0.0017730496453900709,1
Too perfect,0.0,0.0017730496453900709,-1.4714734449085587,-0.0017730496453900709,1
Too biased,0.0,0.0017730496453900709,-1.4714734449085587,-0.0017730496453900709,1
Too outrageous,0.0,0.0017730496453900709,-1.4714734449085587,-0.0017730496453900709,1
Too extreme,0.0,0.0017730496453900709,-1.4714734449085587,-0.0017730496453900709,1
Emotion,0.0,0.0017730496453900709,-1.4714734449085587,-0.0017730496453900709,1
Too aggressive,0.0016207455429497568,0.0,1.389977284324244,0.0016207455429497568,1
Too emotional,0.0016207455429497568,0.0,1.389977284324244,0.0016207455429497568,1
Too exaggerated,0.0016207455429497568,0.0,1.389977284324244,0.0016207455429497568,1
Too political,0.0016207455429497568,0.0,1.389977284324244,0.0016207455429497568,1
Too detailed,0.0016207455429497568,0.0,1.389977284324244,0.0016207455429497568,1
Lack of emotions,0.0016207455429497568,0.0,1.389977284324244,0.0016207455429497568,1
