Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,275,0.5,0.03952892985151049,0.5,0.335740441542059
Off topic comments,177,0.375,0.009431003584229389,0.4,0.2905275721887462
Grammar,173,0.4375,0.021249359959037376,0.4444444444444444,0.313169213614221
Too scripted,158,0.4375,0.01735151049667179,0.4444444444444444,0.32017088906072244
Word choice,142,0.375,0.009656618023553505,0.4,0.2901356810519149
None,122,0.0,0.0,0.0,8.25035709193767e-10
Personalization,110,0.40625,0.01363127240143369,0.42105263157894735,0.3034397028015552
Tone,103,0.34375,0.003382616487455197,0.38095238095238093,0.2827367674121508
Interaction with others,98,0.3125,0.002544162826420891,0.36363636363636365,0.2629284710445106
Image usage,55,0.3125,0.0010880696364567331,0.36363636363636365,0.26954224770197754
Sentence length,54,0.28125,0.0008640552995391705,0.34782608695652173,0.24674478838239292
Too realistic,35,0.09375,0.0,0.27586206896551724,0.08915225153755672
Typing habits,34,0.1875,0.0,0.3076923076923077,0.1704667372659508
Too inflammatory,29,0.09375,0.0,0.27586206896551724,0.08985402938690408
Emoji usage,29,0.21875,0.0002240143369175627,0.32,0.1935258814117774
Repetition,23,0.15625,0.0,0.2962962962962963,0.14835726449879866
Too factual,17,0.1875,0.0,0.3076923076923077,0.175237000507474
Too agreeable,11,0.09375,0.0,0.27586206896551724,0.09041548516283172
Too formal,3,0.0,0.0,0.0,8.25035709193767e-10
Too specific,2,0.0,0.0,0.0,8.25035709193767e-10
Too unrealistic,1,0.0,0.0,0.0,8.25035709193767e-10
Too negative,1,0.0,0.0,0.0,8.25035709193767e-10
Too outrageous,1,0.0,0.0,0.0,8.25035709193767e-10
Emotion,1,0.0,0.0,0.0,8.25035709193767e-10
Too perfect,1,0.0,0.0,0.0,8.25035709193767e-10
Lack of emotions,1,0.0,0.0,0.0,8.25035709193767e-10
Too biased,1,0.0,0.0,0.0,8.25035709193767e-10
Too aggressive,1,0.0,0.0,0.0,8.25035709193767e-10
Too emotional,1,0.0,0.0,0.0,8.25035709193767e-10
Too political,1,0.0,0.0,0.0,8.25035709193767e-10
Too detailed,1,0.0,0.0,0.0,8.25035709193767e-10
Too exaggerated,1,0.0,0.0,0.0,8.25035709193767e-10
Too extreme,1,0.0,0.0,0.0,8.25035709193767e-10
