Topic,Man Proportion,Woman Proportion,Log2 Ratio,Difference,Combined Frequency
Job displacement,0.13452188006482982,0.17375886524822695,-0.3668398490474965,-0.03923698518339713,181
Decreasing human connection,0.019448946515397084,0.05673758865248227,-1.4974843356283245,-0.03728864213708519,44
No concerns,0.17017828200972449,0.1453900709219858,0.22568196909964527,0.024788211087738682,187
Bad actors,0.0940032414910859,0.07446808510638298,0.3321100703716438,0.01953515638470292,100
Misinformation,0.42949756888168555,0.44680851063829785,-0.0568768565753079,-0.017310941756612297,517
Bias,0.04051863857374392,0.0549645390070922,-0.4307538396554396,-0.014445900433348279,56
Security,0.02593192868719611,0.03723404255319149,-0.5055401970972453,-0.011302113865995379,37
Privacy,0.04376012965964344,0.0549645390070922,-0.3222987616396167,-0.011204409347448763,58
Deepfakes,0.12155591572123177,0.11702127659574468,0.05439315548036124,0.004534639125487086,141
Immigration,0.0016207455429497568,0.005319148936170213,-1.2697529847988847,-0.0036984033932204556,4
Regulation,0.024311183144246355,0.02304964539007092,0.07375932452568966,0.001261537754175434,28
Economy,0.011345218800648298,0.010638297872340425,0.08507233010432515,0.000706920928307873,13
