Topic,Democrat Proportion,Republican Proportion,Log2 Ratio,Difference,Combined Frequency
Off topic comments,0.1686143572621035,0.13186813186813187,0.35226317531624585,0.03674622539397163,173
Too generic,0.25208681135225375,0.21611721611721613,0.22115820117948115,0.03596959523503762,269
Grammar,0.1318864774624374,0.16117216117216118,-0.2873318812921694,-0.029285683709723787,167
Too scripted,0.11853088480801335,0.14285714285714285,-0.2672534212117738,-0.024326258049129496,149
Too inflammatory,0.0333889816360601,0.01282051282051282,1.3151352448391482,0.02056846881554728,27
Sentence length,0.03672787979966611,0.054945054945054944,-0.5683795881400966,-0.018217175145388835,52
Emoji usage,0.01669449081803005,0.031135531135531136,-0.8608690704758822,-0.014441040317501087,27
Personalization,0.09849749582637729,0.08424908424908426,0.2229758793640062,0.014248411577293035,105
Image usage,0.05175292153589316,0.038461538461538464,0.41880379206831986,0.013291383074354693,52
Too factual,0.018363939899833055,0.007326007326007326,1.2176757885922753,0.011037932573825729,15
Word choice,0.11686143572621036,0.12637362637362637,-0.11197484255735524,-0.009512190647416013,139
Repetition,0.02337228714524207,0.014652014652014652,0.6388932769916486,0.008720272493227418,22
Interaction with others,0.08514190317195326,0.07875457875457875,0.11114785086748262,0.00638732441737451,94
Tone,0.08681135225375626,0.09157509157509157,-0.07621660804081767,-0.0047637393213353085,102
None,0.1001669449081803,0.1043956043956044,-0.05907671588937813,-0.004228659487424097,117
Too realistic,0.03171953255425709,0.029304029304029304,0.11064250643886879,0.0024155032502277893,35
Too formal,0.001669449081803005,0.003663003663003663,-0.8047175322899588,-0.0019935545812006577,3
Too emotional,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Too unrealistic,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Too negative,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Too exaggerated,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Too extreme,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Lack of emotions,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Emotion,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Too biased,0.0,0.0018315018315018315,-1.501567463004995,-0.0018315018315018315,1
Too political,0.001669449081803005,0.0,1.4165420306915466,0.001669449081803005,1
Too outrageous,0.001669449081803005,0.0,1.4165420306915466,0.001669449081803005,1
Too aggressive,0.001669449081803005,0.0,1.4165420306915466,0.001669449081803005,1
Too detailed,0.001669449081803005,0.0,1.4165420306915466,0.001669449081803005,1
Too perfect,0.001669449081803005,0.0,1.4165420306915466,0.001669449081803005,1
Too agreeable,0.01001669449081803,0.009157509157509158,0.11714474950552235,0.000859185333308872,11
Typing habits,0.03005008347245409,0.029304029304029304,0.03508751586467877,0.0007460541684247875,34
Too specific,0.001669449081803005,0.0018315018315018315,-0.08502543231344846,-0.00016205274969882644,2
