Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,269,0.5,0.04296034946236559,0.5,0.34050636123718525
Off topic comments,173,0.375,0.010131048387096775,0.4,0.2956724368605177
Grammar,167,0.40625,0.017624327956989247,0.42105263157894735,0.3035965141872964
Too scripted,149,0.4375,0.019438844086021506,0.4444444444444444,0.3243597439913026
Word choice,139,0.375,0.010231854838709677,0.4,0.2954653733638424
None,117,0.0,0.0,0.0,9.482709513932916e-10
Personalization,105,0.40625,0.014835349462365591,0.42105263157894735,0.30902817511085195
Tone,102,0.34375,0.004082661290322581,0.38095238095238093,0.28747820472585467
Interaction with others,94,0.28125,0.001008064516129032,0.34782608695652173,0.25198698050195967
Sentence length,52,0.28125,0.0010080645161290322,0.34782608695652173,0.25180694557221195
Image usage,52,0.3125,0.0016633064516129031,0.36363636363636365,0.2740310673798704
Too realistic,35,0.09375,0.0,0.27586206896551724,0.09088267108299743
Typing habits,34,0.1875,0.0,0.3076923076923077,0.1749831954773868
Emoji usage,27,0.1875,0.0,0.3076923076923077,0.17311989900588512
Too inflammatory,27,0.09375,0.0,0.27586206896551724,0.09291084342481787
Repetition,22,0.15625,0.0,0.2962962962962963,0.15214890872605435
Too factual,15,0.15625,0.0,0.2962962962962963,0.15060936997450644
Too agreeable,11,0.09375,0.0,0.27586206896551724,0.09219460584079196
Too formal,3,0.0,0.0,0.0,9.482709513932916e-10
Too specific,2,0.0,0.0,0.0,9.482709513932916e-10
Too exaggerated,1,0.0,0.0,0.0,9.482709513932916e-10
Lack of emotions,1,0.0,0.0,0.0,9.482709513932916e-10
Too unrealistic,1,0.0,0.0,0.0,9.482709513932916e-10
Too emotional,1,0.0,0.0,0.0,9.482709513932916e-10
Too negative,1,0.0,0.0,0.0,9.482709513932916e-10
Emotion,1,0.0,0.0,0.0,9.482709513932916e-10
Too aggressive,1,0.0,0.0,0.0,9.482709513932916e-10
Too biased,1,0.0,0.0,0.0,9.482709513932916e-10
Too political,1,0.0,0.0,0.0,9.482709513932916e-10
Too detailed,1,0.0,0.0,0.0,9.482709513932916e-10
Too outrageous,1,0.0,0.0,0.0,9.482709513932916e-10
Too perfect,1,0.0,0.0,0.0,9.482709513932916e-10
Too extreme,1,0.0,0.0,0.0,9.482709513932916e-10
