Topic,Democrat Proportion,Republican Proportion,Log2 Ratio,Difference,Combined Frequency
Misinformation,0.4757929883138564,0.39194139194139194,0.2790488723347444,0.08385159637246448,499
Job displacement,0.17696160267111852,0.12637362637362637,0.4824994080612485,0.05058797629749215,175
Bad actors,0.09682804674457429,0.06776556776556776,0.5085617762066967,0.02906247897900653,95
No concerns,0.14691151919866444,0.17216117216117216,-0.22738105914067744,-0.025249652962507724,182
Security,0.025041736227045076,0.038461538461538464,-0.5996215650333573,-0.013419802234493388,36
Deepfakes,0.12687813021702837,0.11355311355311355,0.15875288325406958,0.013325016663914821,138
Decreasing human connection,0.0333889816360601,0.04212454212454213,-0.326562745181709,-0.008735560488482029,43
Immigration,0.0,0.007326007326007326,-3.057624827897995,-0.007326007326007326,4
Regulation,0.02003338898163606,0.02564102564102564,-0.3409683037064033,-0.00560763665938958,26
Bias,0.05008347245409015,0.045787545787545784,0.12673204213813052,0.004295926666544367,55
Economy,0.01335559265442404,0.009157509157509158,0.49906622657713046,0.0041980834969148825,13
Privacy,0.05175292153589316,0.047619047619047616,0.11772936143524053,0.00413387391684554,57
