Topic,White Proportion,Black Proportion,Log2 Ratio,Difference,Combined Frequency
Grammar,0.17519379844961241,0.08215962441314555,1.0832079986919634,0.09303417403646687,148
Too scripted,0.16124031007751938,0.10328638497652583,0.6375814944859148,0.05795392510099355,148
None,0.08682170542635659,0.1267605633802817,-0.5407931238485277,-0.0399388579539251,110
Word choice,0.13488372093023257,0.10093896713615023,0.41466698868245705,0.033944753794082336,130
Personalization,0.10542635658914729,0.07276995305164319,0.5287502572818013,0.0326564035375041,99
Too realistic,0.018604651162790697,0.046948356807511735,-1.2902854035096722,-0.028343705644721037,32
Too generic,0.2434108527131783,0.215962441314554,0.17186303014558732,0.027448411398624306,249
Repetition,0.027906976744186046,0.007042253521126761,1.8457460104922263,0.020864723223059285,21
Emoji usage,0.03255813953488372,0.011737089201877934,1.3976271177330724,0.020821050333005787,26
Interaction with others,0.07751937984496124,0.09389671361502347,-0.2733093476040823,-0.01637733377006223,90
Off topic comments,0.15503875968992248,0.14084507042253522,0.13758842278704558,0.01419368926738726,160
Sentence length,0.037209302325581395,0.04929577464788732,-0.3965132888334071,-0.012086472322305926,45
Tone,0.08217054263565891,0.09389671361502347,-0.1902854811527173,-0.011726170979364556,93
Typing habits,0.02635658914728682,0.035211267605633804,-0.40455031597250407,-0.008854678458346983,32
Too inflammatory,0.027906976744186046,0.02112676056338028,0.3856254805608727,0.006780216180805765,27
Too factual,0.012403100775193798,0.01643192488262911,-0.3791650814098745,-0.004028824107435311,15
Too specific,0.0031007751937984496,0.0,2.0358966566907717,0.0031007751937984496,2
Image usage,0.04961240310077519,0.046948356807511735,0.07800960095171491,0.0026640462932634584,52
Too agreeable,0.009302325581395349,0.011737089201877934,-0.30606557820310737,-0.002434763620482585,11
Lack of emotions,0.0,0.002347417840375587,-1.7430486462180497,-0.002347417840375587,1
Too aggressive,0.0,0.002347417840375587,-1.7430486462180497,-0.002347417840375587,1
Too biased,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too unrealistic,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Emotion,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too exaggerated,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too detailed,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too outrageous,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too extreme,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too negative,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too emotional,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too perfect,0.0015503875968992248,0.0,1.3507165183119874,0.0015503875968992248,1
Too formal,0.0015503875968992248,0.002347417840375587,-0.39233212790606253,-0.0007970302434763621,2
