Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,249,0.5161290322580645,0.049933435739887344,0.5161290322580645,0.34718093507681674
Off topic comments,160,0.3870967741935484,0.011367127496159753,0.4129032258064516,0.3027545496439178
Too scripted,148,0.4193548387096774,0.016134152585765487,0.4346349745331069,0.3167420702603256
Grammar,148,0.4193548387096774,0.020542754736303126,0.4346349745331069,0.3083469143975224
Word choice,130,0.3870967741935484,0.012299027137736816,0.4129032258064516,0.29985410226167164
None,110,0.0,0.0,0.0,1.1214546744092358e-09
Personalization,99,0.3870967741935484,0.013548387096774193,0.4129032258064516,0.29749353437423287
Tone,93,0.3548387096774194,0.004915514592933948,0.39324116743471577,0.294140248080279
Interaction with others,90,0.3225806451612903,0.0038709677419354834,0.375366568914956,0.27455885547518427
Image usage,52,0.3225806451612903,0.002872503840245776,0.375366568914956,0.27735269737608104
Sentence length,45,0.22580645161290322,0.0,0.3303225806451613,0.21240749649720336
Typing habits,32,0.1935483870967742,0.0,0.3176178660049628,0.1813826682489694
Too realistic,32,0.0967741935483871,0.0,0.28476084538375973,0.09454636036122392
Too inflammatory,27,0.0967741935483871,0.0,0.28476084538375973,0.09566361855224154
Emoji usage,26,0.16129032258064516,0.0,0.3058542413381123,0.1491638115085264
Repetition,21,0.16129032258064516,0.0,0.3058542413381123,0.1553318391326894
Too factual,15,0.16129032258064516,0.0,0.3058542413381123,0.1542122057006714
Too agreeable,11,0.0967741935483871,0.0,0.28476084538375973,0.09431267612198925
Too formal,2,0.0,0.0,0.0,1.1214546744092358e-09
Too specific,2,0.0,0.0,0.0,1.1214546744092358e-09
Too exaggerated,1,0.0,0.0,0.0,1.1214546744092358e-09
Too biased,1,0.0,0.0,0.0,1.1214546744092358e-09
Too perfect,1,0.0,0.0,0.0,1.1214546744092358e-09
Emotion,1,0.0,0.0,0.0,1.1214546744092358e-09
Too outrageous,1,0.0,0.0,0.0,1.1214546744092358e-09
Too detailed,1,0.0,0.0,0.0,1.1214546744092358e-09
Too negative,1,0.0,0.0,0.0,1.1214546744092358e-09
Too emotional,1,0.0,0.0,0.0,1.1214546744092358e-09
Too unrealistic,1,0.0,0.0,0.0,1.1214546744092358e-09
Too extreme,1,0.0,0.0,0.0,1.1214546744092358e-09
Too aggressive,1,0.0,0.0,0.0,1.1214546744092358e-09
Lack of emotions,1,0.0,0.0,0.0,1.1214546744092358e-09
