Top by Frequency,Top by Degree Centrality,Top by Betweenness Centrality,Top by Closeness Centrality,Top by Eigenvector Centrality
Too generic,Too generic,Too generic,Too generic,Too generic
Off topic comments,Too scripted,Grammar,Too scripted,Too scripted
Too scripted,Grammar,Too scripted,Grammar,Grammar
Grammar,Word choice,Personalization,Word choice,Off topic comments
Word choice,Off topic comments,Word choice,Off topic comments,Word choice
None,Personalization,Off topic comments,Personalization,Personalization
Personalization,Tone,Tone,Tone,Tone
Tone,Interaction with others,Interaction with others,Interaction with others,Image usage
Interaction with others,Image usage,Image usage,Image usage,Interaction with others
Image usage,Sentence length,Too detailed,Sentence length,Sentence length
