Topic,White Proportion,Black Proportion,Log2 Ratio,Difference,Combined Frequency
Misinformation,0.49147286821705427,0.3427230046948357,0.5187978327912596,0.14874986352221858,463
No concerns,0.12713178294573643,0.2136150234741784,-0.7441226921579719,-0.08648324052844197,173
Deepfakes,0.13333333333333333,0.09389671361502347,0.5013873070366542,0.03943661971830986,126
Job displacement,0.17054263565891473,0.13380281690140844,0.34771654814335484,0.03673981875750629,167
Regulation,0.03565891472868217,0.009389671361502348,1.8190140554593768,0.026269243367179822,27
Bad actors,0.08992248062015504,0.07276995305164319,0.30160372795608104,0.01715252756851185,89
Privacy,0.05271317829457364,0.046948356807511735,0.1637947157273573,0.005764821487061908,54
Bias,0.04806201550387597,0.04460093896713615,0.10554297091943668,0.0034610765367398197,50
Decreasing human connection,0.037209302325581395,0.03990610328638498,-0.09839219734409346,-0.0026968009608035817,41
Security,0.034108527131782945,0.03286384976525822,0.05207548037796921,0.0012446773665247268,36
Economy,0.010852713178294573,0.011737089201877934,-0.10381827611847719,-0.0008843760235833602,12
