Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,463,0.9,0.1237037037037037,0.9,0.38708325347392863
No concerns,173,0.0,0.0,0.0,2.9505527664433827e-09
Job displacement,167,0.9,0.1237037037037037,0.9,0.38708325347392863
Deepfakes,126,0.8,0.04592592592592593,0.81,0.37264031243495205
Bad actors,89,0.7000000000000001,0.008888888888888889,0.7363636363636364,0.35124546190195327
Privacy,54,0.7000000000000001,0.008888888888888889,0.7363636363636364,0.35124546190195316
Bias,50,0.6000000000000001,0.0,0.675,0.3167452827727755
Decreasing human connection,41,0.30000000000000004,0.0,0.54,0.16770052037749827
Security,36,0.5,0.0,0.6230769230769231,0.270427042208363
Regulation,27,0.6000000000000001,0.0,0.675,0.3167452827727756
Economy,12,0.2,0.0,0.50625,0.11320848150631828
