Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,108,0.6,0.044838624338624344,0.6400000000000001,0.317286349908089
Grammar,94,0.64,0.05644973544973546,0.6666666666666667,0.3275403227682486
Off topic comments,90,0.4,0.004870370370370371,0.5333333333333333,0.2541219596437479
Word choice,79,0.56,0.026235449735449737,0.6153846153846154,0.30689550085829487
Too scripted,77,0.72,0.22345767195767202,0.7272727272727273,0.3217762164429835
Personalization,61,0.52,0.033380952380952386,0.5925925925925926,0.28099647297737684
None,52,0.0,0.0,0.0,5.5325328143405016e-11
Interaction with others,51,0.36,0.0022222222222222222,0.5161290322580645,0.2332556159497879
Tone,39,0.44,0.012584656084656087,0.5517241379310346,0.2674639420290878
Image usage,28,0.48,0.01111640211640212,0.5714285714285715,0.2872985028761781
Sentence length,20,0.44,0.0069497354497354506,0.5517241379310346,0.27350039912175905
Too realistic,19,0.2,0.0023809523809523807,0.45714285714285713,0.1341340372143631
Too inflammatory,18,0.2,0.0004761904761904762,0.45714285714285713,0.12797016157560195
Emoji usage,17,0.28,0.002,0.48484848484848486,0.1817268346458118
Typing habits,13,0.24,0.00037037037037037035,0.4705882352941177,0.16278741957202483
Repetition,10,0.2,0.0,0.45714285714285713,0.14396265456717083
Too factual,10,0.28,0.002666666666666667,0.4444444444444445,0.1748690965701161
Too agreeable,6,0.16,0.0,0.41025641025641024,0.11051086174144112
Too formal,3,0.12,0.0,0.43243243243243246,0.08615683149145209
Too biased,1,0.0,0.0,0.0,5.5325328143405016e-11
Too perfect,1,0.04,0.0,0.3902439024390244,0.029799958953341636
Emotion,1,0.04,0.0,0.3902439024390244,0.029799958953341636
Too outrageous,1,0.04,0.0,0.3902439024390244,0.029799958953341636
Too negative,1,0.0,0.0,0.0,5.5325328143405016e-11
Too unrealistic,1,0.0,0.0,0.0,5.5325328143405016e-11
Too extreme,1,0.0,0.0,0.0,5.5325328143405016e-11
