Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,167,0.6666666666666666,0.057557197231110274,0.6944444444444445,0.3402058431775933
Off topic comments,87,0.5833333333333333,0.13931734529560616,0.6410256410256411,0.28007289837111654
Too scripted,81,0.5833333333333333,0.033342221385699644,0.6410256410256411,0.3149025422785016
Grammar,79,0.5416666666666666,0.032844751866490995,0.6172839506172839,0.2875854292244233
None,70,0.0,0.0,0.0,6.192693689522834e-11
Tone,64,0.5,0.07869246293159335,0.5952380952380952,0.2745788941705023
Word choice,63,0.5416666666666666,0.05132301273605621,0.6172839506172839,0.2868891506750219
Personalization,49,0.5,0.019801012192316537,0.5555555555555556,0.2765841841262143
Interaction with others,47,0.41666666666666663,0.013421874019700108,0.5555555555555556,0.2391022958377567
Sentence length,34,0.5416666666666666,0.05571684756467365,0.6172839506172839,0.28162937929208176
Image usage,27,0.3333333333333333,0.001302883911579564,0.5208333333333334,0.21609034399397706
Typing habits,21,0.41666666666666663,0.013653355501181587,0.5555555555555556,0.23419919178088755
Too realistic,16,0.20833333333333331,0.0008051529790660225,0.43859649122807015,0.13486447803049256
Repetition,13,0.25,0.0,0.4504504504504505,0.16797287796090118
Emoji usage,12,0.29166666666666663,0.001710950080515298,0.462962962962963,0.18645584086449896
Too inflammatory,11,0.25,0.012750172532781228,0.47619047619047616,0.13937155561030048
Too factual,7,0.20833333333333331,0.0009003074220465525,0.4504504504504505,0.14087234799013942
Too agreeable,5,0.25,0.00135320597277119,0.47619047619047616,0.15975049838465735
Too specific,2,0.08333333333333333,0.0,0.3787878787878788,0.039409695941922555
Too exaggerated,1,0.041666666666666664,0.0,0.37037037037037035,0.02631464908865891
Too detailed,1,0.0,0.0,0.0,6.192693689522834e-11
Too political,1,0.08333333333333333,0.0,0.3875968992248062,0.05341517905942067
Too emotional,1,0.0,0.0,0.0,6.192693689522834e-11
Too aggressive,1,0.041666666666666664,0.0,0.3546099290780142,0.02579834861017529
Lack of emotions,1,0.0,0.0,0.0,6.192693689522834e-11
