Top by Frequency,Top by Degree Centrality,Top by Betweenness Centrality,Top by Closeness Centrality,Top by Eigenvector Centrality
Misinformation,Misinformation,Misinformation,Misinformation,Misinformation
No concerns,Job displacement,Job displacement,Job displacement,Job displacement
Job displacement,Bad actors,Bad actors,Bad actors,Bad actors
Deepfakes,Deepfakes,Security,Deepfakes,Deepfakes
Bad actors,Privacy,Regulation,Privacy,Privacy
Privacy,Security,Deepfakes,Security,Security
Bias,Regulation,Privacy,Regulation,Regulation
Security,Bias,No concerns,Bias,Bias
Regulation,Economy,Bias,Economy,Economy
Decreasing human connection,Decreasing human connection,Decreasing human connection,Decreasing human connection,Decreasing human connection
