Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,265,0.8181818181818182,0.06939393939393938,0.8181818181818182,0.38274467276420515
No concerns,105,0.0,0.0,0.0,1.8553436763054998e-08
Job displacement,83,0.8181818181818182,0.06939393939393938,0.8181818181818182,0.38274467276420515
Deepfakes,75,0.6363636363636364,0.007272727272727273,0.6694214876033059,0.33771119589637844
Bad actors,58,0.7272727272727273,0.037575757575757575,0.7363636363636364,0.35753743552825246
Privacy,27,0.6363636363636364,0.007272727272727273,0.6694214876033059,0.33771119589637844
Bias,25,0.4545454545454546,0.0,0.5664335664335665,0.2553596888386414
Security,16,0.6363636363636364,0.013636363636363636,0.6694214876033059,0.3311684934028179
Regulation,15,0.6363636363636364,0.013636363636363636,0.6694214876033059,0.3311684934028179
Decreasing human connection,12,0.2727272727272727,0.0,0.4909090909090909,0.15945771634788058
Economy,7,0.36363636363636365,0.0,0.5259740259740261,0.20273587111699146
Immigration,1,0.0,0.0,0.0,1.8553436763054998e-08
