Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,252,0.7272727272727273,0.019999999999999997,0.7575757575757576,0.35721524718159303
Job displacement,98,0.8181818181818182,0.06545454545454545,0.8264462809917354,0.3757500129443521
No concerns,82,0.09090909090909091,0.0,0.45454545454545453,0.05038577295274289
Deepfakes,66,0.8181818181818182,0.1836363636363636,0.8264462809917354,0.3633514105533559
Bad actors,42,0.7272727272727273,0.04363636363636363,0.7575757575757576,0.3460621531072211
Decreasing human connection,32,0.4545454545454546,0.0,0.606060606060606,0.24377884780092762
Bias,31,0.5454545454545454,0.0,0.6493506493506493,0.2927072131068076
Privacy,31,0.8181818181818182,0.06545454545454545,0.8264462809917354,0.3757500129443522
Security,21,0.5454545454545454,0.0036363636363636364,0.6493506493506493,0.28592280903187967
Regulation,13,0.5454545454545454,0.0,0.6493506493506493,0.2927072131068076
Economy,6,0.2727272727272727,0.0,0.5050505050505051,0.1521976697454015
Immigration,3,0.0,0.0,0.0,1.5427690588914124e-08
