Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,151,0.6666666666666666,0.07192604094778009,0.7067307692307693,0.32857787508519465
Off topic comments,101,0.4583333333333333,0.06267253278122843,0.5927419354838709,0.24705157241556808
Grammar,79,0.5416666666666666,0.025997814584771108,0.6336206896551724,0.2896092809587929
Too scripted,71,0.625,0.17215033356337706,0.6805555555555556,0.29433290768085835
Word choice,70,0.5416666666666666,0.056113411548194166,0.6336206896551724,0.2793898930777676
None,60,0.0,0.0,0.0,4.981149354235852e-11
Personalization,59,0.5416666666666666,0.023280423280423283,0.6336206896551724,0.2961111299322293
Tone,52,0.5416666666666666,0.08665171382562686,0.6336206896551724,0.2869081625626551
Interaction with others,51,0.4583333333333333,0.00746779388083736,0.5927419354838709,0.27260159025935055
Image usage,31,0.5,0.01310098918794571,0.6124999999999999,0.28711946107523656
Sentence length,22,0.5416666666666666,0.05050034506556246,0.6124999999999999,0.2816323967539918
Too inflammatory,20,0.20833333333333331,0.014622153209109727,0.47115384615384615,0.10363240799498383
Too realistic,19,0.20833333333333331,0.0020703933747412005,0.47115384615384615,0.1248429247827526
Typing habits,18,0.41666666666666663,0.014895330112721419,0.57421875,0.231201255056141
Repetition,14,0.20833333333333331,0.0,0.47115384615384615,0.13607615000098539
Too factual,11,0.29166666666666663,0.003623188405797101,0.4835526315789474,0.17327496357926134
Emoji usage,10,0.25,0.0,0.45937500000000003,0.15902089637582387
Too agreeable,6,0.20833333333333331,0.0,0.45937500000000003,0.13026098753332183
Too formal,1,0.0,0.0,0.0,4.981149354235852e-11
Too perfect,1,0.041666666666666664,0.0,0.39095744680851063,0.026916236629756653
Too outrageous,1,0.041666666666666664,0.0,0.39095744680851063,0.026916236629756653
Too specific,1,0.08333333333333333,0.0,0.3675,0.032069800648484886
Too detailed,1,0.0,0.0,0.0,4.981149354235852e-11
Too political,1,0.08333333333333333,0.0,0.4083333333333333,0.051303992235055614
Too aggressive,1,0.041666666666666664,0.0,0.375,0.026237086802202717
