Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,285,0.9,0.1137037037037037,0.9,0.3996996290983887
Job displacement,106,0.8,0.06555555555555556,0.81,0.3710801464611221
No concerns,88,0.0,0.0,0.0,3.517999173374065e-09
Deepfakes,76,0.8,0.04703703703703703,0.81,0.37879266660290756
Bad actors,58,0.8,0.04703703703703703,0.81,0.37879266660290756
Privacy,31,0.6000000000000001,0.011111111111111112,0.675,0.3097807382026731
Bias,30,0.6000000000000001,0.0044444444444444444,0.675,0.32035765900540897
Decreasing human connection,20,0.4,0.0,0.5785714285714286,0.2288965757760631
Security,15,0.4,0.0,0.5785714285714286,0.21971563926131207
Regulation,12,0.6000000000000001,0.02222222222222222,0.675,0.3009134418682259
Economy,8,0.30000000000000004,0.0,0.54,0.16050334381845321
