Top by Frequency,Top by Degree Centrality,Top by Betweenness Centrality,Top by Closeness Centrality,Top by Eigenvector Centrality
Misinformation,Misinformation,Misinformation,Misinformation,Misinformation
Job displacement,Job displacement,Job displacement,Job displacement,Deepfakes
No concerns,Deepfakes,Deepfakes,Deepfakes,Bad actors
Deepfakes,Bad actors,Bad actors,Bad actors,Job displacement
Bad actors,Privacy,Regulation,Privacy,Bias
Privacy,Bias,Privacy,Bias,Privacy
Bias,Regulation,Bias,Regulation,Regulation
Decreasing human connection,Decreasing human connection,No concerns,Decreasing human connection,Decreasing human connection
Security,Security,Decreasing human connection,Security,Security
Regulation,Economy,Security,Economy,Economy
