Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,214,0.7272727272727273,0.03714285714285714,0.7575757575757576,0.3665433532001362
No concerns,94,0.09090909090909091,0.0,0.43290043290043284,0.05016481308458524
Job displacement,69,0.7272727272727273,0.060303030303030296,0.7575757575757576,0.35116102985874026
Deepfakes,62,0.7272727272727273,0.1735064935064935,0.7575757575757576,0.34683324865471005
Bad actors,37,0.6363636363636364,0.03303030303030302,0.6993006993006993,0.3213443907730661
Privacy,26,0.8181818181818182,0.06896103896103896,0.8264462809917354,0.39176622433268055
Bias,25,0.5454545454545454,0.002597402597402597,0.6493506493506493,0.3005895256051301
Decreasing human connection,23,0.36363636363636365,0.0,0.5347593582887701,0.20614708185309197
Security,21,0.6363636363636364,0.03744588744588744,0.6993006993006993,0.3158011241078911
Regulation,14,0.5454545454545454,0.002597402597402597,0.6493506493506493,0.3005895256051301
Economy,5,0.36363636363636365,0.002597402597402597,0.5347593582887701,0.19960962734440774
Immigration,4,0.0,0.0,0.0,2.606844278374343e-09
