Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,118,0.4444444444444444,0.017813659907677002,0.5142450142450142,0.31423816596278925
Grammar,88,0.5185185185185185,0.06236402881702028,0.5570987654320988,0.32887206404442476
Too scripted,78,0.5555555555555556,0.11127191105823586,0.5813204508856683,0.3326567843467166
Off topic comments,72,0.4074074074074074,0.07763045754498746,0.49519890260631005,0.25017400552570956
Word choice,69,0.4444444444444444,0.02160554703289746,0.49519890260631005,0.30484060968271126
None,57,0.0,0.0,0.0,1.2316478401944868e-10
Tone,50,0.4444444444444444,0.02144613854015563,0.5142450142450142,0.3080951571958439
Personalization,46,0.3333333333333333,0.006672023766040859,0.445679012345679,0.2551818788698772
Interaction with others,43,0.3333333333333333,0.008458825125491794,0.4610472541507024,0.25453241606080373
Sentence length,30,0.4074074074074074,0.029707638040971374,0.49519890260631005,0.2831050471512545
Image usage,21,0.37037037037037035,0.004193234748790305,0.47751322751322756,0.28982483253732505
Emoji usage,17,0.2962962962962963,0.0065161808751552355,0.43130227001194743,0.21835833901132376
Too realistic,16,0.14814814814814814,0.00031655587211142766,0.3613613613613614,0.11911555145521795
Typing habits,16,0.18518518518518517,0.00035612535612535614,0.39324618736383443,0.15180645512958146
Repetition,8,0.07407407407407407,0.0,0.3428300094966762,0.06261745641498058
Too inflammatory,7,0.18518518518518517,0.002018043684710351,0.3713991769547325,0.14193080050052206
Too agreeable,5,0.07407407407407407,0.0,0.35185185185185186,0.05888394100949138
Too factual,4,0.14814814814814814,0.0,0.38201058201058197,0.12255466706278369
Too formal,2,0.1111111111111111,0.0,0.3613613613613614,0.09322117012345484
Too unrealistic,1,0.0,0.0,0.0,1.2316478401944868e-10
Lack of emotions,1,0.0,0.0,0.0,1.2316478401944868e-10
Too specific,1,0.0,0.0,0.0,1.2316478401944868e-10
Too biased,1,0.0,0.0,0.0,1.2316478401944868e-10
Too emotional,1,0.0,0.0,0.0,1.2316478401944868e-10
Too negative,1,0.0,0.0,0.0,1.2316478401944868e-10
Emotion,1,0.037037037037037035,0.0,0.32610659439927736,0.0338282427614569
Too exaggerated,1,0.037037037037037035,0.0,0.297119341563786,0.025440648918333787
Too extreme,1,0.0,0.0,0.0,1.2316478401944868e-10
