Top by Frequency,Top by Degree Centrality,Top by Betweenness Centrality,Top by Closeness Centrality,Top by Eigenvector Centrality
Misinformation,Privacy,Deepfakes,Privacy,Privacy
No concerns,Misinformation,Privacy,Misinformation,Misinformation
Job displacement,Job displacement,Job displacement,Job displacement,Job displacement
Deepfakes,Deepfakes,Security,Deepfakes,Deepfakes
Bad actors,Bad actors,Misinformation,Bad actors,Bad actors
Privacy,Security,Bad actors,Security,Security
Bias,Bias,Bias,Bias,Bias
Decreasing human connection,Regulation,Regulation,Regulation,Regulation
Security,Decreasing human connection,Economy,Decreasing human connection,Decreasing human connection
Regulation,Economy,No concerns,Economy,Economy
