Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,92,0.7000000000000001,0.07554928989139516,0.7363636363636364,0.3487008210405633
Off topic comments,60,0.6000000000000001,0.051558061821219726,0.675,0.3109010088217496
None,54,0.0,0.0,0.0,1.5090002980974527e-10
Too scripted,44,0.6000000000000001,0.04934628237259816,0.675,0.3122964308926101
Word choice,43,0.5,0.043205931495405164,0.6230769230769231,0.28100105505622386
Interaction with others,40,0.55,0.06255221386800333,0.648,0.2872427752412527
Tone,40,0.55,0.10373224728487886,0.648,0.2919405391362786
Grammar,35,0.65,0.19668546365914785,0.7043478260869566,0.3108620849135603
Personalization,31,0.5,0.0235171261487051,0.6230769230769231,0.27053892254716805
Sentence length,21,0.5,0.011159147869674185,0.6230769230769231,0.2910761739570265
Too realistic,20,0.2,0.0,0.4909090909090909,0.1308868656718184
Image usage,20,0.35000000000000003,0.0011842105263157896,0.54,0.22053963635059318
Typing habits,15,0.35000000000000003,0.004517543859649123,0.5225806451612903,0.20593689786537592
Too inflammatory,9,0.15000000000000002,0.0,0.43783783783783786,0.10103112395512655
Too factual,7,0.25,0.0005263157894736842,0.47647058823529415,0.1595021208669567
Too agreeable,5,0.30000000000000004,0.0027819548872180444,0.50625,0.18067075837304308
Emoji usage,5,0.1,0.0,0.405,0.05907045980495185
Repetition,3,0.05,0.0,0.405,0.032314952711999925
Too aggressive,1,0.05,0.0,0.3857142857142857,0.03034789688241529
Lack of emotions,1,0.0,0.0,0.0,1.5090002980974527e-10
Too formal,1,0.05,0.0,0.405,0.032314952711999925
