Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,146,0.9,0.10888888888888888,0.9,0.38247427843306187
No concerns,91,0.0,0.0,0.0,2.50890493813944e-09
Job displacement,57,0.9,0.10888888888888888,0.9,0.38247427843306187
Deepfakes,40,0.8,0.031111111111111114,0.81,0.3687265456566564
Bad actors,31,0.8,0.031111111111111114,0.81,0.3687265456566564
Privacy,20,0.7000000000000001,0.008888888888888889,0.7363636363636364,0.3417253720102331
Bias,19,0.6000000000000001,0.0,0.675,0.30858278293770003
Decreasing human connection,17,0.4,0.0,0.5785714285714286,0.21536367983417232
Security,14,0.5,0.0,0.6230769230769231,0.26434865630910426
Economy,5,0.2,0.0,0.50625,0.1096526211251163
Regulation,4,0.6000000000000001,0.0,0.675,0.3085827829377
