Top by Frequency,Top by Degree Centrality,Top by Betweenness Centrality,Top by Closeness Centrality,Top by Eigenvector Centrality
Misinformation,Misinformation,Misinformation,Misinformation,Misinformation
No concerns,Job displacement,Job displacement,Job displacement,Job displacement
Job displacement,Deepfakes,Deepfakes,Deepfakes,Deepfakes
Deepfakes,Bad actors,Bad actors,Bad actors,Bad actors
Bad actors,Privacy,Privacy,Privacy,Privacy
Privacy,Bias,No concerns,Bias,Bias
Bias,Regulation,Bias,Regulation,Regulation
Decreasing human connection,Security,Decreasing human connection,Security,Security
Security,Decreasing human connection,Security,Decreasing human connection,Decreasing human connection
Economy,Economy,Economy,Economy,Economy
