Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,317,0.9,0.035555555555555556,0.9090909090909091,0.35517241305091546
Job displacement,110,0.9,0.035555555555555556,0.9090909090909091,0.35517241305091546
Deepfakes,86,0.9,0.2181481481481482,0.9090909090909091,0.33013954802188
No concerns,82,0.1,0.0,0.5,0.04229176678094376
Bad actors,58,0.8,0.015555555555555555,0.8333333333333334,0.3301388067208096
Privacy,34,0.9,0.035555555555555556,0.9090909090909091,0.35517241305091546
Bias,31,0.6000000000000001,0.0,0.7142857142857143,0.26336784831972937
Decreasing human connection,24,0.5,0.0,0.6666666666666666,0.22045271710807846
Regulation,23,0.8,0.015555555555555555,0.8333333333333334,0.3301388067208096
Security,22,0.8,0.02185185185185185,0.8333333333333334,0.3252657202348117
Economy,7,0.6000000000000001,0.0,0.6666666666666666,0.26274299256569233
