Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Too generic,157,0.5172413793103449,0.03281042301978263,0.5632183908045977,0.31959886955892314
Grammar,113,0.5172413793103449,0.038267260927359444,0.5632183908045977,0.3143309318623298
Too scripted,104,0.5517241379310345,0.15137716005942606,0.5848806366047745,0.3043433430757963
Off topic comments,100,0.4482758620689655,0.08423645320197046,0.5243757431629014,0.2730018043776695
Word choice,87,0.48275862068965514,0.026787669090624754,0.5431034482758621,0.30507871955612575
Personalization,68,0.41379310344827586,0.01695988740323716,0.506896551724138,0.2692314562377802
None,56,0.0,0.0,0.0,4.7481172398220804e-11
Tone,53,0.3793103448275862,0.011746422707013838,0.4905450500556173,0.25649615061718134
Interaction with others,50,0.3448275862068966,0.001558956916099773,0.47521551724137934,0.25388965712914224
Image usage,32,0.41379310344827586,0.007417507232778169,0.506896551724138,0.2864456840215154
Sentence length,24,0.3448275862068966,0.012891938384549221,0.47521551724137934,0.2300613832706209
Emoji usage,21,0.3103448275862069,0.002383884588318086,0.4472616632860041,0.2194275235459392
Repetition,18,0.1724137931034483,0.0,0.38992042440318303,0.13747771772438225
Too inflammatory,18,0.24137931034482757,0.014014973805614199,0.43448275862068964,0.15503871926520474
Typing habits,17,0.3448275862068966,0.0026233481898506527,0.47521551724137934,0.24543670869264572
Too realistic,12,0.13793103448275862,0.0003518648838845883,0.3536487570168404,0.09181269608701258
Too factual,8,0.24137931034482757,0.002976190476190476,0.38017241379310346,0.16068999084178268
Too agreeable,6,0.13793103448275862,0.0,0.3536487570168404,0.1054003168135324
Too specific,2,0.06896551724137931,0.0,0.3235509904622157,0.03890455601949338
Too biased,1,0.0,0.0,0.0,4.7481172398220804e-11
Too exaggerated,1,0.034482758620689655,0.0,0.3103448275862069,0.024813031379851223
Too formal,1,0.0,0.0,0.0,4.7481172398220804e-11
Too perfect,1,0.034482758620689655,0.0,0.33058470764617687,0.027661653777062208
Emotion,1,0.034482758620689655,0.0,0.33058470764617687,0.027661653777062208
Too outrageous,1,0.034482758620689655,0.0,0.33058470764617687,0.027661653777062208
Too detailed,1,0.0,0.0,0.0,4.7481172398220804e-11
Too negative,1,0.0,0.0,0.0,4.7481172398220804e-11
Too emotional,1,0.0,0.0,0.0,4.7481172398220804e-11
Too unrealistic,1,0.0,0.0,0.0,4.7481172398220804e-11
Too extreme,1,0.0,0.0,0.0,4.7481172398220804e-11
