,Woman,Man
Misinformation,0.44680851063829785,0.42949756888168555
No concerns,0.1453900709219858,0.17017828200972449
Job displacement,0.17375886524822695,0.13452188006482982
Deepfakes,0.11702127659574468,0.12155591572123177
Bad actors,0.07446808510638298,0.0940032414910859
Privacy,0.0549645390070922,0.04376012965964344
Bias,0.0549645390070922,0.04051863857374392
Decreasing human connection,0.05673758865248227,0.019448946515397084
Security,0.03723404255319149,0.02593192868719611
Regulation,0.02304964539007092,0.024311183144246355
Economy,0.010638297872340425,0.011345218800648298
Immigration,0.005319148936170213,0.0016207455429497568
