,Democrat,Republican
Misinformation,0.4757929883138564,0.39194139194139194
No concerns,0.14691151919866444,0.17216117216117216
Job displacement,0.17696160267111852,0.12637362637362637
Deepfakes,0.12687813021702837,0.11355311355311355
Bad actors,0.09682804674457429,0.06776556776556776
Privacy,0.05175292153589316,0.047619047619047616
Bias,0.05008347245409015,0.045787545787545784
Decreasing human connection,0.0333889816360601,0.04212454212454213
Security,0.025041736227045076,0.038461538461538464
Regulation,0.02003338898163606,0.02564102564102564
Economy,0.01335559265442404,0.009157509157509158
Immigration,0.0,0.007326007326007326
