,White,Black
Too generic,0.2434108527131783,0.215962441314554
Off topic comments,0.15503875968992248,0.14084507042253522
Grammar,0.17519379844961241,0.08215962441314555
Too scripted,0.16124031007751938,0.10328638497652583
Word choice,0.13488372093023257,0.10093896713615023
None,0.08682170542635659,0.1267605633802817
Personalization,0.10542635658914729,0.07276995305164319
Tone,0.08217054263565891,0.09389671361502347
Interaction with others,0.07751937984496124,0.09389671361502347
Image usage,0.04961240310077519,0.046948356807511735
Sentence length,0.037209302325581395,0.04929577464788732
Typing habits,0.02635658914728682,0.035211267605633804
Too realistic,0.018604651162790697,0.046948356807511735
Too inflammatory,0.027906976744186046,0.02112676056338028
Emoji usage,0.03255813953488372,0.011737089201877934
