,White,Black
Misinformation,0.49147286821705427,0.3427230046948357
No concerns,0.12713178294573643,0.2136150234741784
Job displacement,0.17054263565891473,0.13380281690140844
Deepfakes,0.13333333333333333,0.09389671361502347
Bad actors,0.08992248062015504,0.07276995305164319
Privacy,0.05271317829457364,0.046948356807511735
Bias,0.04806201550387597,0.04460093896713615
Decreasing human connection,0.037209302325581395,0.03990610328638498
Security,0.034108527131782945,0.03286384976525822
Regulation,0.03565891472868217,0.009389671361502348
Economy,0.010852713178294573,0.011737089201877934
