Topic,Frequency,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Misinformation,518,0.8181818181818182,0.1012121212121212,0.8181818181818182,0.38708325347392863
No concerns,189,0.0,0.0,0.0,2.950552766443382e-09
Job displacement,181,0.8181818181818182,0.1012121212121212,0.8181818181818182,0.38708325347392863
Deepfakes,141,0.7272727272727273,0.03757575757575757,0.7363636363636364,0.3726403124349521
Bad actors,100,0.6363636363636364,0.007272727272727273,0.6694214876033059,0.3512454619019532
Privacy,58,0.6363636363636364,0.007272727272727273,0.6694214876033059,0.3512454619019532
Bias,56,0.5454545454545454,0.0,0.6136363636363636,0.31674528277277547
Decreasing human connection,44,0.2727272727272727,0.0,0.4909090909090909,0.16770052037749825
Security,37,0.4545454545454546,0.0,0.5664335664335665,0.27042704220836294
Regulation,28,0.5454545454545454,0.0,0.6136363636363636,0.3167452827727755
Economy,13,0.18181818181818182,0.0,0.46022727272727276,0.11320848150631826
Immigration,4,0.0,0.0,0.0,2.950552766443382e-09
